name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
GLOW Sukhumvit 5,"Wattana, Bangkok",7.9,Good,551,8.4,Deluxe King Room,1 king bed,"   164,336"
ZONE STATIONS??????????thatphanom,That Phanom,8.1,Very Good,85,8.7,Twin Room with Bathroom,2 twin beds,"   49,261"
Nak Nakara Hotel-SHA Extra Plus,Chiang Rai,8.7,Excellent,"1,109",8.9,Executive Deluxe Twin Room,2 twin beds,"   108,688"
Hop Inn Phetchabun,Phetchabun,8.7,Excellent,181,9.1,Standard Double Room,1 queen bed,"   43,346"
Sabai Corner Bungalows - SHA Extra Plus,Ko Yao Noi,8.4,Very Good,277,8,Bungalow with Garden View,1 queen bed,"   53,318"
"Holiday Inn Pattaya, an IHG Hotel",Pattaya,8.6,Excellent,912,9,Standard Room,   1 double or 2 twins,"   250,041"
HOMA Phuket Town,Phuket,9.1,Wonderful,471,9.4,Studio Classic,1 queen bed,"   106,315"
Suporn Lakeview,Trakan Phut Phon,7.7,Good,19,8.2,Deluxe Apartment,"2 beds (1 king, 1 sofa bed)","   45,286"
Rimpao Hotel,Kalasin,6.6,Review score,117,,Deluxe Double or Twin Room,"3 beds (2 twins, 1 full)","   71,210"
LG Lemon Grass,Na Jomtien,7,Good,87,,Deluxe Double Room with Balcony and Sea View,1 king bed,"   125,693"
OYO 1044 Vassana Resort,Sattahip,7.3,Good,100,,Superior Double Room,1 king bed,"   46,036"
Viang Thapae Resort- SHA Extra Plus,"Chang Moi, Chiang Mai",8.8,Excellent,634,9.3,Superior Double Room,1 full bed,"   114,669"
AMPM Hotel,Sungai Kolok,8,Very Good,1 review,,Double Room with Private Bathroom,1 king bed,"   46,429"
SO Bangkok,"Bang Rak, Bangkok",8.4,Very Good,604,9,SO Cozy Double Room with City View,1 full bed,"   342,421"
The Duchess Hotel - SHA Plus,"Pathumwan, Bangkok",8.1,Very Good,"1,252",8.5,Superior One-Bedroom,1 king bed,"   263,422"
Noom Guesthouse,Lop Buri,8.1,Very Good,315,8,Double Room with Private Bathroom,1 full bed,"   35,582"
Pawapi Beach Resort Koh Mook,Ko Mook,7.7,Good,174,,Deluxe Bungalow with Sea View,1 queen bed,"   343,115"
"Holiday Inn Express Bangkok Sukhumvit 11, an IHG Hotel - Free Breakfast","Wattana, Bangkok",7.2,Good,480,,Standard Double or Twin Room,   1 double or 2 twins,"   128,840"
Chaweng Regent Beach Resort - SHA Extra Plus,"Chaweng City Center , Chaweng",8,Very Good,568,8.4,Deluxe Double or Twin Room,   1 double or 2 twins,"   280,259"
Chomduen Phu Kao Resort,Non Sang,8.1,Very Good,48,8.2,Deluxe Queen Room,1 queen bed,"   32,347"
The Opium Chiang Mai,"Chang Phueak, Chiang Mai",8.6,Excellent,"1,168",8.7,Studio,   1 double or 2 twins,"   64,695"
Sofitel Bangkok Sukhumvit,"Wattana, Bangkok",8.6,Excellent,568,9.1,Luxury Twin Room,2 twin beds,"   402,674"
SUhotel Suratthani,Suratthani,8.7,Excellent,197,9.1,Standard King Room,1 king bed,"   36,848"
"Chanalai Romantica Resort - Adults Only, Kata Beach - SHA Plus",Kata Beach,8.7,Excellent,593,8.9,Superior Double or Twin Room,1 full bed,"   372,607"
Namkhong Guesthouse and Resort,Chiang Khong,7.9,Good,286,8,Standard Twin Room with Fan and Shared Bathroom,2 twin beds,"   19,408"
"Staybridge Suites Bangkok Thonglor, an IHG Hotel","Wattana, Bangkok",8.8,Excellent,162,9.1,Studio Suite,2 twin beds,"   229,526"
Wisdom Hotel & Residence,Rayong,8.1,Very Good,373,8.6,Deluxe Pool View,1 full bed,"   90,250"
Peeranon Resort,Ban Nong Khiam,8.5,Very Good,68,9.1,King Room,1 king bed,"   42,052"
Novotel Bangkok Silom Road Hotel,"Bang Rak, Bangkok",7,Good,563,,Superior Twin Room,2 twin beds,"   94,270"
Rimtarn Resort,Mae Hong Son,7.4,Good,102,,Standard Double or Twin Room,   1 double or 2 twins,"   64,695"
Crossroads house,Mae Hong Son,8.9,Excellent,414,8.7,Budget Twin Room,2 twin beds,"   30,807"
The Nature Sukhothai,Sukhothai,8.3,Very Good,254,9,Superior Double Room,1 queen bed,"   49,492"
Port Canary Airport Hotel,Lat Krabang,8.5,Very Good,"1,196",9,King Room with Balcony,1 king bed,"   87,616"
"Interpark Hotel & Residence, Eastern Seaboard Rayong",Ban Phan Sadet Nok,7.7,Good,43,8,Standard Twin Room,2 twin beds,"   113,216"
Buri Tara Resort - SHA Extra Plus,Ao Nang Beach,8.1,Very Good,374,8.3,Superior Double Room with Balcony,   1 double or 2 twins,"   90,111"
Mercure Bangkok Makkasan,Bangkok,8.1,Very Good,36,9.1,Superior King Room,1 king bed,"   135,921"
Furama Silom Hotel,"Bang Rak, Bangkok",7.2,Good,"1,112",,Deluxe Double or Twin Room,   1 double or 2 twins,"   99,638"
Sappraiwan Elephant Resort&Sanctuary,Kaengsopha,7.9,Good,25,,Superior Room,   1 double or 2 twins,"   258,780"
Grande Centre Point Pattaya,Pattaya,8.8,Excellent,"1,481",9.2,Panoramic Suite,1 king bed,"   613,647"
Wild Hippie Chang,Ban Nong Si Chaeng,9.6,Exceptional,5,8,Bungalow with Fan,1 queen bed,"   35,490"
Na Nirand Romantic Boutique Resort,"Chang Khlan, Chiang Mai",9.2,Wonderful,203,9.4,Riverfront Colonial Suite,1 queen bed,"   1,618,151"
MELIÁ PHUKET MAI KHAO - SHA Plus,Mai Khao Beach,8.9,Excellent,496,9.5,One-Bedroom Wellness Villa with Private Pool,1 king bed,"   963,398"
Lipe Beach Resort,"Ko Lipe Sunrise Beach, Ko Lipe",8,Very Good,357,8.1,Garden Room Fan-No Hot Shower,1 queen bed,"   124,214"
Pupiang po Da Arte Resort,Dan Sai,9.2,Wonderful,45,9.6,Deluxe Room,1 king bed,"   157,209"
Oon Valley Farm Stay,Ban Mae Pha Haen,7.9,Good,32,8.4,Quadruple Room,4 twin beds,"   117,745"
The Royal Paradise Hotel & Spa - SHA Extra Plus,Patong Beach,7.8,Good,"2,626",8.2,Deluxe Double or Twin - Paradise Wing,Multiple bed types,"   158,603"
Novotel Phuket Resort,Patong Beach,7.7,Good,482,8,Superior Twin Room,2 twin beds,"   154,282"
Amari Koh Samui,"Chaweng Beachfront, Chaweng",8.4,Very Good,313,8.7,Superior King Room - Garden Wing,1 king bed,"   269,067"
Frankie's Inn - SHA Extra Plus,Jomtien Beach,7.8,Good,68,8.7,Deluxe King Studio,1 king bed,"   76,386"
OYO 854 Baan Phuchalong,Phuket,7.4,Good,138,,Superior Double Room,1 king bed,"   37,480"
Conrad Bangkok,"Pathumwan, Bangkok",8.7,Excellent,590,9.1,Grand Premium King,1 king bed,"   541,217"
Ok Farm Resort,Det Udom,8.9,Excellent,34,9.2,Queen Room with Garden View,1 king bed,"   48,521"
S.S.Hotel Nangrong,Nang Rong,8.1,Very Good,54,8.7,Standard Double Room,1 king bed,"   40,481"
Gudi Boutique Hotel,Mae Rim,7.8,Good,138,8.1,Deluxe Double or Twin Room,Multiple bed types,"   60,861"
Kept Bangsaray Hotel Pattaya,Bang Sare,8.7,Excellent,94,8.9,Deluxe Double Room,1 king bed,"   625,015"
Novotel Bangkok on Siam Square,"Pathumwan, Bangkok",7.3,Good,"2,647",,Executive Double Room,1 king bed,"   336,793"
ASAI Bangkok Chinatown,"Chinatown, Bangkok",8.9,Excellent,"1,060",9.4,Roomy Queen Courtyard,1 king bed,"   160,197"
El Pillax Lanta Resort,"Klong Khong Beach, Ko Lanta",8.4,Very Good,249,9.1,Deluxe Bungalow,1 king bed,"   420,517"
Six Senses Samui,Choeng Mon Beach,9,Wonderful,110,9.3,Ocean View Pool Villa,1 queen bed,"   1,485,944"
Sinsiri hostel,Ban Ku,8.2,Very Good,8,,Standard Twin Room,2 twin beds,"   40,176"
Novotel Bangkok Ploenchit Sukhumvit,"Pathumwan, Bangkok",8,Very Good,964,8.4,Deluxe Twin Room,2 twin beds,"   222,582"
Royal Cliff Grand Hotel - SHA Extra Plus,Pattaya South,8.4,Very Good,246,8.8,Grand Sea View,Multiple bed types,"   288,030"
SYN Boutique Hotel,Chiang Mai,8.9,Excellent,243,9.4,Stylistic Twin Room,2 twin beds,"   258,133"
The Beach Village Resort,Sam Roi Yot,8.4,Very Good,130,8.7,One-Bedroom Garden Suite,1 full bed,"   147,311"
Phi Phi Relax Beach Resort,"Pak Nam Bay, Phi Phi Islands",8.1,Very Good,"1,288",8.1,Bungalow with Balcony,1 king bed,"   209,612"
Funwan Hotel,Li,8.2,Very Good,29,8.7,Standard King Room,1 king bed,"   45,416"
The Quartier Boutique Hotel Sukhumvit 39 Bangkok by Compass Hospitality,"Wattana, Bangkok",8.2,Very Good,586,8.9,Premier Double Room,1 full bed,"   150,777"
Baan Bua Guest House,Chiang Rai,8.2,Very Good,311,8,Double or Twin Room with Fan,   1 double or 2 twins,"   28,530"
Pajamas Koh Chang,"Klong Prao Beach, Ko Chang",8.9,Excellent,295,9.1,Double Room with Garden View,1 queen bed,"   122,698"
DoubleTree by Hilton Bangkok Ploenchit - SHA Plus Certified,"Khlong Toei, Bangkok",8.5,Very Good,286,8.9,Twin Guest Room,2 twin beds,"   217,827"
Thames Tara Pool Villa Rawai Phuket - SHA Extra Plus,Rawai Beach,8,Very Good,207,8.2,3 Bedrooms Pool Villa,"6 beds (4 twins, 1 king, 1 sofa bed)","   349,353"
????????????? - Me Vadsana Hotel,Ban Thung Yao,9,Wonderful,4,8.1,Standard Family Room,"2 beds (1 twin, 1 full)","   51,109"
Islanda Hideaway Resort - SHA Extra Plus,"Ko Klang, Krabi",8.8,Excellent,419,9.2,Garden View Bungalow Triple,"2 beds (1 full, 1 sofa bed)","   175,919"
Park Villa Chaiyaphume,Chaiyaphum,8.5,Very Good,73,9,Double Room,1 king bed,"   60,166"
COSI Pattaya Wong Amat Beach - SHA Plus Certified,North Pattaya,8.6,Excellent,253,8.9,COSI Room King,1 king bed,"   90,788"
"Phuket Marriott Resort and Spa, Nai Yang Beach",Nai Yang Beach,8.7,Excellent,450,9.3,"Premium Pool Access, Guest room, 2 Double",2 queen beds,"   403,128"
Twin Bay Resort - SHA Extra Plus,"Ko Kwang Beach, Ko Lanta",8.6,Excellent,211,8.8,Deluxe Family Bungalow,"2 beds (1 bunk bed, 1 queen)","   203,789"
Gallery Design - SHA Extra Plus,Si Sa Ket,8,Very Good,87,8.6,Deluxe Double Room,1 king bed,"   113,216"
Moracea by Khao Lak Resort - SHA Extra Plus,"Khao Lak Beach, Khao Lak",8.8,Excellent,502,9.2,Grand Deluxe Double or Twin Room,   1 double or 2 twins,"   188,684"
Eden Bungalows Fisherman's village,"Fisherman Village, Bophut",8.9,Excellent,226,9.3,Classic Double Room,1 king bed,"   122,920"
OZO Chaweng Samui,"Chaweng City Center , Chaweng",8.3,Very Good,759,8.8,Deluxe King,1 king bed,"   265,985"
Anantara Riverside Bangkok Resort,"Thonburi, Bangkok",8.9,Excellent,608,9.2,Deluxe Room,Multiple bed types,"   494,880"
??????????????? Lung Bun Camp,Ban Nong Rang Chang,9.1,Wonderful,20,9.2,Tent,1 queen bed,"   110,046"
Centara Koh Chang Tropicana Resort,"Klong Prao Beach, Ko Chang",8.3,Very Good,787,8.6,Deluxe Twin Room,2 twin beds,"   240,676"
Mercure Bangkok Sukhumvit 11,"Wattana, Bangkok",8.4,Very Good,867,9,Deluxe King Room,1 full bed,"   215,850"
JP Resort Koh Tao,"Chalok Baan Kao, Ko Tao",7.8,Good,383,,Standard Bungalow with Sea View,1 full bed,"   45,139"
Arcadia Maephim,Mae Pim,7.2,Good,101,,Deluxe Executive Suite with Sea View-2 Bedrooms,"2 beds (1 full, 1 queen)","   288,863"
Santhiya Tree Koh Chang Resort,"Klong Prao Beach, Ko Chang",8.8,Excellent,800,9,Villa Pool Access,1 queen bed,"   334,615"
Diamond Cottage Resort & Spa - SHA Extra Plus,Karon Beach,,,,,Deluxe Double or Twin Room with Pool View,   1 double or 2 twins,"   151,727"
Ban Chomdoi Resort PhaTang,Ban Pha Tang,8.3,Very Good,53,8.2,Tent,1 futon bed,"   25,878"
Surin Sunset Hotel - SHA,Surin Beach,7,Good,206,,Double Room with Balcony and Sea View,1 queen bed,"   124,764"
Novotel Phuket Vintage Park Resort,Patong Beach,8,Very Good,517,8.2,Superior Twin Room,2 twin beds,"   148,367"
Happy Land Residence,Ban Nam Cham,10,Exceptional,3,10,Double Room,1 full bed,"   87,800"
Asia Hotel Bangkok,"Phaya Thai, Bangkok",7.6,Good,"1,027",,Executive Double or Twin Room,2 twin beds,"   117,375"
Rawai Palm Beach Resort - SHA Extra Plus,Rawai Beach,7.7,Good,517,,Deluxe Family Room with Pool View,   1 double or 2 twins,"   245,919"
COSI Samui Chaweng Beach - SHA Plus,Chaweng,8.2,Very Good,374,8.8,COSI - KING Room with daily food & drink credit,1 king bed,"   119,353"
L'esprit De Naiyang Beach Resort - SHA Extra Plus,Nai Yang Beach,8.3,Very Good,853,8.7,One Bedroom Garden Villa (FREE One Way Airport Transfer),"2 beds (1 king, 1 sofa bed)","   148,130"
Le Meridien Chiang Mai,"Chang Moi, Chiang Mai",8.6,Excellent,343,9.2,"Urban Room (K), Guest room, 1 King, Sofa bed","2 beds (1 king, 1 sofa bed)","   309,633"
The Lord Nelson Hotel,"Phala Beach, Ban Chang",7.9,Good,150,8.3,Deluxe Family Suite,2 king beds,"   332,767"
Central Park Hotel,Sing Buri,7.4,Good,123,,Standard Twin Room,2 twin beds,"   32,347"
Hotel MYS Khao Yai,Mu Si,10,Exceptional,3,10,Suite,1 king bed,"   624,468"
LAKE HOUSE Naka Cave,Ban Don Klang,8.6,Excellent,8,9.1,Small Double Room,1 queen bed,"   129,390"
Neenlawat Riverside,Suratthani,8.6,Excellent,302,8.6,Standard Double Room,1 queen bed,"   64,048"
??????? ??????? ????????? Deetorjai Resort,Chiang Muan,8.8,Excellent,5,9.5,Standard Queen Room,1 queen bed,"   40,887"
Wellness Stay & Hotel Sukhumvit 107,Bangna,9.1,Wonderful,40,9.4,Superior Double Room,1 full bed,"   109,246"
Racha Island Resort (Rayaburi),Ko Racha Yai,7.7,Good,138,8,Chino Pool View,   1 double or 2 twins,"   248,519"
Phuruarounmai Organic Living Resort,Loei,8.1,Very Good,157,8.2,Deluxe Double Room with Balcony,1 queen bed,"   51,821"
Pastell Oldtown Chiang Mai SHA Extra Plus,"Phra Sing, Chiang Mai",8.9,Excellent,356,9.2,Deluxe Double Room,1 king bed,"   142,162"
Midtown Sukhothai,Sukhothai,8.8,Excellent,169,9.2,Superior Twin Room,2 twin beds,"   82,024"
SO Sofitel Hua Hin,Cha Am,8.3,Very Good,164,8.8,Two-Bedroom Villa with Private Pool,"3 beds (2 twins, 1 king)","   1,246,697"
Beyond Resort Krabi,Klong Muang Beach,8.2,Very Good,340,8.2,Villa with Garden View,   1 double or 2 twins,"   283,655"
MUTHI MAYA Forest Pool Villa Resort - SHA Plus Certified,Mu Si,9,Wonderful,403,9.2,One-Bedroom Villa with Private Pool,"2 beds (1 sofa bed, 1 queen)","   576,543"
HR Resort,Ban Dong Bang,9.5,Exceptional,23,9.7,Deluxe Double Room with Shower,1 king bed,"   87,338"
Avani Plus Koh Lanta Krabi Resort - SHA Extra Plus,"Ko Kwang Beach, Ko Lanta",8.9,Excellent,152,9.5,Pool View Room,1 king bed,"   268,847"
Seashell Resort Koh Tao-SHA Plus,"Sairee Beach, Ko Tao",7.2,Good,384,,Bungalow with Fan,1 full bed,"   102,833"
Baan Sawan Samui Resort,Chaweng Noi Beach,9.5,Exceptional,248,9.7,Two-Bedroom Villa,"3 beds (2 twins, 1 king)","   255,281"
Wonderland Healing Center,Thong Sala,9.1,Wonderful,125,9.1,King Suite,1 king bed,"   363,909"
Lanta Seafront Resort,"Klong Nin Beach, Ko Lanta",8,Very Good,191,8.2,Deluxe Double Room,1 full bed,"   75,323"
Holatel,Phitsanulok,7.9,Good,269,8.3,Deluxe Double Room,1 twin bed,"   79,353"
The Landmark Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.7,Excellent,"1,314",9.1,Deluxe Suite,1 queen bed,"   618,806"
Le Meridien Khao Lak Resort & Spa,"Bangsak Beach, Khao Lak",8.9,Excellent,337,9.3,"Deluxe Pool View Twin, Deluxe Guest room, Pool view, Balcony",2 twin beds,"   187,795"
Holatel,Phitsanulok,7.9,Good,269,8.3,Deluxe Double Room,1 twin bed,"   79,353"
The Landmark Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.7,Excellent,"1,314",9.1,Deluxe Suite,1 queen bed,"   618,806"
Le Meridien Khao Lak Resort & Spa,"Bangsak Beach, Khao Lak",8.9,Excellent,337,9.3,"Deluxe Pool View Twin, Deluxe Guest room, Pool view, Balcony",2 twin beds,"   187,795"
?????????????? ?????????,Ban Don Klang,8.9,Excellent,15,9.8,Double Room with Terrace,1 full bed,"   46,580"
The Elysium Residence - SHA Extra Plus,Chalong,8.9,Excellent,98,9.3,Standard Double Room with Sea View,1 queen bed,"   85,028"
The Desiign Hotel - SHA,"304 Industrial Park, Si Maha Phot",8.8,Excellent,48,9,Superior Double Room,1 king bed,"   95,749"
David Residence- SHA Extra Plus,Nai Yang Beach,8.3,Very Good,806,8.7,Deluxe Double Room (Free Round Trip Airport Transfer),1 queen bed,"   103,641"
Sukorn Andaman Beach Resort,Ko Sukon,9,Wonderful,39,8.6,Deluxe Bungalow with Fan,   1 double or 2 twins,"   51,756"
Naga Tara Boutique Resort,Phayao,8.2,Very Good,337,8.5,Standard Double Room,1 king bed,"   64,695"
Gate43 Airport Hotel,Lat Krabang,8.2,Very Good,"1,722",8.7,Triple Room with Lake View,3 twin beds,"   178,246"
Railay Princess Resort & Spa-SHA Extra Plus,Railay Beach,7.8,Good,587,8.5,Superior Double or Twin Room,   1 double or 2 twins,"   139,593"
BA? Apartment? Flow?Suvarnabhumi,Bang Phli,8.1,Very Good,566,8.4,Loft,1 king bed,"   43,669"
Chatrium Grand Bangkok,"Pratunam, Bangkok",9.2,Wonderful,219,9.5,Premier Room,Multiple bed types,"   611,460"
Fanari Khaolak Resort - Courtyard SHA Extra Plus,"Bang Niang Beach, Khao Lak",7.9,Good,381,,Deluxe Double Room with Pool View,1 queen bed,"   69,621"
Haadson Resort & Koh Raham,Haad Son,7.5,Good,147,,Deluxe Double or Twin Room with Balcony,   1 double or 2 twins,"   174,676"
Phi Phi Holiday Resort-SHA Extra Plus,"Laem Tong Bay, Phi Phi Islands",7.9,Good,824,8,Coral Beach Studio,1 full bed,"   463,475"
The Hi Place,Roi Et,8.7,Excellent,115,8.9,King Suite with Balcony,"3 beds (1 king, 2 sofa beds)","   203,789"
Panya Garden Resort,Ban Huai Na,7.1,Good,29,,Double Room with Balcony,"2 beds (1 twin, 1 queen)","   38,817"
Diamond Beach Resort,Ao Nam Mao,7.3,Good,334,,Superior Double Room,   1 double or 2 twins,"   83,179"
Novotel Bangkok Sukhumvit 20,"Khlong Toei, Bangkok",8.5,Very Good,"1,104",9.1,Executive Floor Deluxe King Room,1 full bed,"   276,771"
Hilton Sukhumvit Bangkok,"Khlong Toei, Bangkok",8.5,Very Good,540,9.1,Twin Deluxe Room,2 twin beds,"   331,243"
Sawadeelanna Hotel,Nan,8.4,Very Good,124,8.7,Double Room with Mountain View,1 king bed,"   69,871"
Buasri Boutique Patong,"Nanai Road, Patong Beach",8.4,Very Good,379,8.7,King Room with Pool View,1 king bed,"   83,913"
Le Patta Hotel Chiang Rai SHA Extra Plus,Chiang Rai,9.1,Wonderful,343,9.6,Deluxe Double Room,1 king bed,"   184,219"
JADAE HOUSE,Ban Huai Khai,9.7,Exceptional,3,10,Double Room with Mountain View,1 king bed,"   136,927"
kwanlah homestay,Mae Chaem,8.5,Very Good,172,8.4,Double Room with Terrace,"3 beds (1 twin, 2 fulls)","   77,634"
Ibis Phuket Kata,Kata Beach,7.9,Good,398,8.2,Standard Twin Room,2 twin beds,"   94,350"
"Hotel Indigo Phuket Patong, an IHG Hotel - SHA Extra Plus",Patong Beach,8.8,Excellent,985,9.3,Standard Room,Multiple bed types,"   259,549"
Avista Hideaway Phuket Patong - MGallery,"Tri Trang Beach, Patong Beach",8,Very Good,158,8.4,"Deluxe Room King Bed, Garden View",1 queen bed,"   264,556"
Loei Palace Hotel,Loei,7.7,Good,199,,Deluxe King Room,1 king bed,"   63,239"
Karin hotel & Service apartment - SHA Extra Plus,Si Racha,8.6,Excellent,306,8.8,Premium Studio,1 king bed,"   146,488"
Centara Anda Dhevi Resort and Spa - SHA Plus,Ao Nang Beach,8.3,Very Good,198,8.5,Deluxe King Room,1 king bed,"   114,219"
Panphuree Residence - SHA Extra Plus,Nai Yang Beach,8.3,Very Good,"1,465",8.9,Deluxe Double Room,1 king bed,"   84,103"
"Kacha Resort & Spa, Koh Chang - SHA Extra Plus","White Sand Beach, Ko Chang",8,Very Good,631,8.4,Hillside Deluxe Building,Multiple bed types,"   169,686"
Maitria Mode Sukhumvit 15 Bangkok - A Chatrium Collection,"Wattana, Bangkok",8.7,Excellent,833,9.1,Deluxe King Room,1 king bed,"   214,048"
Watermill Resort,Nong Nam Daeng,8.4,Very Good,59,8.7,Villa with Creek View,1 queen bed,"   143,526"
Phi Phi Harbour View Hotel-SHA Extra Plus,"Tonsai Bay, Phi Phi Islands",7.3,Good,605,,Deluxe Triple Room,"2 beds (1 twin, 1 full)","   346,372"
Baan Suan Chiva Saran,Nong Bua Lamphu,7,Good,10,8.2,Triple Room,"2 beds (1 twin, 1 queen)","   35,582"
"@ Border Hotel, Aranyaprateth",Aranyaprathet,7.6,Good,87,8.2,Standard Double Room,1 full bed,"   66,543"
Darley Hotel Chiangmai,"Chang Moi, Chiang Mai",8.6,Excellent,178,8.9,Superior Twin Room,2 twin beds,"   75,299"
Oakwood Suites Bangkok,"Khlong Toei, Bangkok",9,Wonderful,680,9.4,Premier Apartment,1 queen bed,"   396,322"
At Chiang Mai - SHA Extra Plus,"Si Phum, Chiang Mai",8.5,Very Good,742,8.8,Superior King or Twin Room,   1 double or 2 twins,"   97,819"
Samui Mermaid Beachfront,Bangrak Beach,7.3,Good,749,,Standard Double Room with Fan,1 queen bed,"   51,109"
Royal Nakhara Hotel and Convention Centre,Nong Khai,7.5,Good,190,,Deluxe Double Room,1 queen bed,"   90,573"
The Beachfront Hotel Phuket,Rawai Beach,7.5,Good,377,8.3,Superior Double or Twin Room,1 full bed,"   116,451"
M CASA HOTEL PATTAYA,Nong Prue,7.9,Good,241,8.1,Deluxe Room,1 twin bed,"   85,397"
PAN KLED VILLA eco hill resort - SHA extra plus,Chiang Rai,8.8,Excellent,654,9,Classic Double,1 full bed,"   80,222"
Mook Lamai Resort and Spa,Ko Mook,9.3,Wonderful,105,9.4,One-Bedroom Villa with  Pool View,1 queen bed,"   323,475"
Chour Palace Hotel,Mae Sai,8.4,Very Good,74,8.6,Deluxe Double Room,1 full bed,"   52,403"
Phayamas Private Beach Resort and Island Brew,Ko Phayam,9.1,Wonderful,152,9.3,Double Bungalow with Fan,1 king bed,"   127,181"
Montien Hotel Surawong Bangkok,"Bang Rak, Bangkok",8.9,Excellent,652,9.3,Deluxe Twin Room,2 twin beds,"   273,078"
SeaRidge Hua Hin Resort & Poolvilla,Khao Tao,7.9,Good,49,8.3,Superior Two-Bedroom Suite with Balcony,"3 beds (2 twins, 1 queen)","   417,283"
By Beach Resort,Ban Bang Po,7.8,Good,104,,Bungalow with Air Conditioning,1 queen bed,"   74,936"
Hilltop Wellness Resort,Phuket,8.3,Very Good,207,9,Superior Double or Twin Room with Pool View,Multiple bed types,"   162,449"
Villa San Pee Seua - SHA extra plus,"San Phi Suea, Chiang Mai",9.3,Wonderful,353,9.3,Family Suite,   1 double or 2 twins,"   209,612"
Lamai Inn 99 Bungalows,Lamai,8.2,Very Good,556,8.3,Standard Double Room,1 king bed,"   76,418"
"Holiday Inn Resort Krabi Ao Nang Beach, an IHG Hotel",Ao Nang Beach,8.3,Very Good,745,8.7,Standard Room,2 twin beds,"   126,183"
Brighton Grand Hotel Pattaya - SHA Extra Plus,North Pattaya,8.5,Very Good,422,8.9,Grand Deluxe Harbor View,Multiple bed types,"   198,732"
Alcove Bungalow,Hinkong,9.1,Wonderful,185,9.1,Deluxe Bungalow with Garden View,1 king bed,"   172,828"
Diamond Cave Resort,Railay Beach,6.8,Review score,"1,044",,Standard Queen Room with Two Queen Beds,2 full beds,"   96,072"
Armthong Home,Ban Nong Toei,8.6,Excellent,11,9.2,Villa with Garden View,"8 beds (4 twins, 3 kings, 1 sofa bed)","   155,268"
??????,Ban Mae Khachan,8.8,Excellent,29,8.7,Deluxe Room,1 king bed,"   38,817"
Lomsabai Apartments,Bangsaen,7.3,Good,133,,Deluxe Double Room,1 queen bed,"   55,314"
Koh Yao Yai Hillside Resort,Ko Yao Yai,9,Wonderful,129,9.4,Grand Superior Room,"2 beds (1 king, 1 sofa bed)","   175,601"
Hotel Muse Bangkok Langsuan - MGallery,"Pathumwan, Bangkok",8,Very Good,912,8.4,Jatu Deluxe,1 king bed,"   271,811"
Hotel De Sripoom -SHA Extra Plus,"Si Phum, Chiang Mai",8.8,Excellent,811,9,Deluxe Double Room with Bath,1 king bed,"   147,311"
The Sarann - SHA Extra Plus,Chaweng Noi Beach,7.7,Good,289,8.2,Deluxe Double or Twin Room,2 twin beds,"   155,477"
Le Pes Villas,Khanom,8.8,Excellent,34,9.2,Triple Room with Terrace,"2 beds (1 twin, 1 queen)","   155,753"
Hugga Pai,Pai,8.6,Excellent,191,8.9,Standard Double Room-High Floor,1 full bed,"   43,096"
Top Hostel (Top Mansion),Udon Thani,7.8,Good,395,8,Deluxe Double Room,1 queen bed,"   43,669"
Bangkok Marriott Hotel The Surawongse,"Bang Rak, Bangkok",9.2,Wonderful,"1,176",9.5,Two-Bedroom Residential Suite,"3 beds (2 twins, 1 king)","   976,713"
Bualuang HOTEL,Ang Thong,5,Review score,42,,Superior Double Room,1 queen bed,"   28,466"
The Pier,Thong Sala,6.6,Review score,304,,Bungalow with Fan,1 king bed,"   60,582"
Chatrium Residence Sathon Bangkok,"Sathorn, Bangkok",8.7,Excellent,995,9,Deluxe One-Bedroom King,1 king bed,"   215,773"
Le Divine Comedie Beach Resort,Ban Tai,8.5,Very Good,262,8.6,Bungalow (2 Adults),1 queen bed,"   140,943"
The Pier,Thong Sala,6.6,Review score,304,,Bungalow with Fan,1 king bed,"   60,582"
Chatrium Residence Sathon Bangkok,"Sathorn, Bangkok",8.7,Excellent,995,9,Deluxe One-Bedroom King,1 king bed,"   215,773"
Le Divine Comedie Beach Resort,Ban Tai,8.5,Very Good,262,8.6,Bungalow (2 Adults),1 queen bed,"   140,943"
Surin Majestic Hotel,Surin,8.1,Very Good,276,8.4,Deluxe King Room,1 king bed,"   77,673"
Rajthani Hotel - SHA Certified,Suratthani,8.1,Very Good,714,8.3,Standard Double Room,1 queen bed,"   38,056"
Phu Pha Nam Resort,Dan Sai,7,Good,26,,Standard Double or Twin Room,1 full bed,"   77,634"
Oasis Koh Chang,"Lonely Beach, Ko Chang",8.7,Excellent,372,8,Bungalow with Fan,1 full bed,"   47,135"
De Princess Hotel Udonthani,Udon Thani,9,Wonderful,271,9.4,Superior Double Room,1 king bed,"   124,039"
Nantrungjai Boutique Hotel,Nan,8.7,Excellent,68,8.9,Boutique Room,Multiple bed types,"   93,044"
"Vana Belle, A Luxury Collection Resort, Koh Samui","Chaweng Noi Beachfront, Chaweng Noi Beach",9.3,Wonderful,100,9.4,"Premium Ocean Pool, 1 Bedroom Suite, 1 King, Sofa bed","2 beds (1 king, 1 sofa bed)","   1,382,913"
